nombre;tipo;favorito;Ciudad;ciudad2;lat;lng;precio;web;dia;web;foto;telef;recomendacion;atardecer;descripcion
La Raspa;restaurante;false;Arrecife;Arrecife;28.962261;-13.546741;1;na;0;https://tascalaraspa.com;-;;Fer;false;
Famara;playa;true;Caleta de Famara (Teguise);Teguise;29.115383;-13.557022;1;na;2;-;img/famara.jpg;;Fer;false;Mejor atardecer - Restaurante Risco
La ripia;restaurante;false;Arrecife;Arrecife;28.959185;-13.547662;1;na;0;-;-;;Fer;false;
Flamingo;playa;true;Playa Blanca (Yaiza);Yaiza;28.857464;-13.841246;1;na;6;-;-;;Fer;false;
Lilium;restaurante;false;Arrecife;Arrecife;28.959185;-13.547662;1;na;0;https://www.restaurantelilium.com/;-;;Fer;false;
Jabillo;playa;true;Costa Teguise (Teguise);Teguise;28.993224;-13.489621;1;na;1;-;img/el_jabillo.jpg;;Amiga Fer;false;Piscinas Naturales Gigantes - Comer o Cenar en El rincon
las conchas;playa;true;La Graciosa;La Graciosa;29.274868;-13.515803;1;na;4;-;-;;Fer;;
Papagayo;playa;true;Playa Blanca (Yaiza);Yaiza;28.842;-13.787;1;na;6;-;img/papagayo.jpg;;Fer y Rocio;false;
Playa Chica;playa;true;Puerto del Carmen (Tías);Tias;28.91974;-13.664763;1;na;5;-;-;;Fer;false;
Playa Fariones;playa;true;Puerto del Carmen (Tías);Tias;28.91974;-13.664763;1;na;5;-;-;;Fer;false;una de mis favoritas
Niño Salvaje;restaurante;false;Arrecife;Arrecife;28.959185;-13.547662;1;na;0;-;-;;Fer;false;
Patagonia;restaurante;false;Playa Honda;Playa Honda;28.951716;-13.587575;1;na;0;-;-;;Fer;false;Carne
Restaurante Risco;restaurante;true;Playa Risco;Playa Risco;29.114487;-13.548163;1;na;2;https://www.tripadvisor.es/Restaurant_Review-g652122-d1731146-Reviews-Restaurante_Sala_El_Risco-Teguise_Lanzarote_Canary_Islands.html;-;928528550;Fer;false;No cierra
Salmarina;restaurante;false;Playa Honda;Playa Honda;28.90684;-13.732607;1;na;0;-;-;;Fer;false;
Playa mujeres;playa;true;Papagayo - Playa Blanca (Yaiza);Yaiza;28.852827;-13.792615;1;na;6;-;-;;Fer;false;Nudista  no tan masificada
Playa Risco;playa;true;Bajo el Mirador del Río (Haría);Haria;29.208699;-13.496886;1;na;2;-;-;;Fer;false;
Santa Leña;restaurante;false;Arrecife;Arrecife;28.959185;-13.547662;1;na;0;https://santa-lena.makro.rest;-;;Fer;false;Carne
Strava;restaurante;false;Arrecife;Arrecife;28.959185;-13.547662;1;na;0;https://www.barstrava.es;-;;Fer;false;
El Rincon;restaurante;true;Costa Teguise (Teguise);Teguise;28.996576;-13.491496;1;na;1;-;-;928493158;Amiga Fer;false;Preguntar a Fer cual es exactamente
Miñoca;restaurante;true;Arrecife;Arrecife;28.962231;-13.546988;1;na;2;-;-;;Fer;false;
Bar Piscinas Naturales;restaurante;true;Punta Mujeres (Haría);Haria;29.145157;-13.446248;1;na;3;-;;;Fer;false;Reservar
Casa Enriqueta;restaurante;true;La Graciosa;La Graciosa;29.231029;-13.503330;;;4;;;;;;martes y miercoles cerrado
Casa Torano;restaurante;true;El Golfo (Yaiza);Yaiza;28.982588;-13.831530;1;na;6;-;-;;Fer;false;cierra los viernes
;;;;;;;;;;;;;;;
